"グループ名","名字","名前","名字読み","名前読み","TwitterID","TwitterName","フォロワー数","ツイート数","認証","非公開","id","Twitterプロフィール","ツイート履歴"
"『アイコノクラズム』","藤江","瑠美","ふじえ","るみ","ic_rumi","藤江 瑠美🥀🧸『アイコノクラズム』【7/31(日)新体制お披露目デビューライブ】","825","8006","","","1348470422199697409","《@iconoclasm2021》赤色担当🥀 最年少17歳👼🏻┊クラシックバレエ🩰🤍 ┊八重歯＆左利き┊ クロミちゃん好き𓈒𓂂𓏸♡┊ お仕事のご依頼はDMまたはiconoclasm1024@gmail.comまでお願いします♕ DMは事務所管理になります✉️",""
"『アイコノクラズム』","佐藤","萌音","さとう","もね","ic_mone","佐藤 萌音「アイコノクラズム」","617","5589","","","1435133401325981699","୨୧@iconoclasm2021୨୧ 緑色担当👶🏻💚 丸顔のボブ。(髪の毛コロコロ変わります) 富山県産🍚メンタルケア屋𖠿⸝よくケラケラ笑います^_^カビゴンとハチワレと猫が好き❤︎.*お仕事依頼dm又はiconoclasm1024@gmail.comまで💌𓈒𓏸⌇",""
"『アイコノクラズム』","黒崎","りえ","くろさき","りえ","ic_kurosakirie","黒崎りえ『アイコノクラズム』","60","36","","","1516787646588395521","アイコノクラズムの青色担当りえちゃんです🪞💍20歳🤍🏹 身長がとても高いです🪄🫧",""
"『アイコノクラズム』","斉藤","あかり","さいとう","あかり","ic_akari","斉藤あかり🌸💡『アイコノクラズム』","46","61","","","1540657640883101696","♡ @iconoclasm2021 ♡ 新メンバーピンク担当 【お披露目公演➡︎7月31日（日）】144cm🐥アイドル/二次元/パグ/カービィ お仕事のご依頼はDM又は iconoclasm1024@gmail.com までお願いいたします。🌟お仕事⇨バクステ@akari__777",""
"【eN】","桜井","紗稀","さくらい","さき","eN_saki0311_","🌸桜井紗稀(さきちょん)❄🤍6月も推してね🌸","10752","62483","","","253499256","【eN】の白色担当🤍@eN_11_11🤍ショート❣️🌸ポコチャ📹アイドルぽたく/美容/犬🐶推してくれたらしわわせにします❄️愛が重いです。色白片エクボ滑舌弱め👶推してね🤍#さきちょん日和　グラビア 6thDVD発売中 プリュ所属",""
"【eN】","やまだ","なみ","やまだ","なみ","eN_nami0620","やまだなみ🍑本日#なみの日","10102","24852","","","2933180618","えんの桃色。ライブスケジュールこちら→ https://t.co/robFLSvTPf #えんちゃん #ぼくなみ",""
"【eN】","宮坂","杏","みやさか","あん","eN_ann_","宮坂杏🐸🌻","4279","9731","","","1147548088514445312","笑顔を届けるお仕事してます。アニメ好きヒロアカオタク！公式@eN_11_11",""
"【eN】","成瀬","せな","なるせ","せな","eN_sena_","成瀬せな🐯【eN】生誕祭7/24","2704","10598","","","1183375871995826177","（@eN_11_11 ）#えんちゃん 黄色担当20才！#たべるなるせ Instagram→ https://t.co/zWnGBb1E5Y",""
"【eN】","蒼井","ふう","あおい","ふう","eN_fu_","蒼井ふう🦋🍼【eN】","1338","2661","","","1359428099679473664","【eN】𝕭𝕷𝖀𝕰🦋(@eN_11_11) 見た目は、イケメン❕中身は、乙女❕ 元画家です❕とてもよくモテます🍼 ﾁｪｷﾂｲ→ #ふちゃでーと ⬇️スケジュール(デート日)🔽",""
"【eN】","鈴羽","さくら","すずは","さくら","eN_sakura1130","鈴羽 さくら😈【eN】新メンバー","799","2078","","","1363453701201883140","【eN】新メンバー紫担当💜 @eN_11_11 皆を笑顔にする、幸せにするを目標にしてます！身長146cm おバカ・ゲーム大好き・方向音痴・朝きらい・電車乗り継ぎ出来ない おちゃめ 寂しがり屋 泣き虫 ニジマスさん🐟大好き♡ #ばぶさく ツイート待ってるよ！",""
"@lluring","","Yu-ki","","ゆうき","Yuuki_Sakai115","酒井優希/ Yu-Ki（@lluring）","356","841","","","1005594321121230848","役者 / アーティスト Inception所属。11月5日生まれ。 ダンスボーカル「@ lluring（アルアリング）」お仕事の依頼はこちらにお願いします。https://t.co/DdfDJx1LOw",""
"@lluring","","Asuthin","","あすてぃん","asuthin_0325","鵜飼明恵@アスティン🐶🦇🌻💛","1319","5245","","","929380654478868480","まねきねこWebCM／PrinceOflegendメイド役／意識高すぎ高杉くんCM／親バカ青春白書／AmazonTV／その他諸々／舞台諸々／舞台役者を目指す天使です。(๑´ㅂ`๑) インスタ、TikTok、SHOWROOMやってるのでそっちもフォローしてください´`*（@ lluring）加入、事務所非公開。",""
"/NOVA","Kino","Rigor","きの","りごぉる","kinorigorrrrr","KinoRigor🍼💙/NOVA","1662","12969","","","1173638624157417472","/NOVA 白藍(はくあい)のHERO担当KinoRigor(キノリゴｫル) 🍼💙公式(@slashnova2019) リプ返&DM禁止・6時~25時まで機動します/#KinoRigor #スラノヴァ  #スラノヴァあとがき/よぉサイドキック。",""
"/NOVA","","ERIO","","えりお","erioooooo_o","ERIO🐬💜/NOVA","1113","4948","","","1353259790160470016","/NOVA 葡萄染(えびぞめ)のDolphinSmile担当 ERIO(エリオ)🐬💜 公式(@slashnova2019 ) リプ返＆DM禁止/6時〜25時/#ERIO #スラノヴァ/万年イヤイヤ期/くそ雑魚アイドルちゃん",""
"/NOVA","","Ay","","えい","Ay_A_yo","エイエイエイエイエイ /NOVA","274","133","","","1482006818138517504","僕だけがアンダーグラウンド۞ @slashnova2019 永遠かなり痛いヒトです。夏が好き。",""
"＆シンフィニティ","水瀬","ももか","みなせ","ももか","_mnsmmk","水瀬ももか【＆シンフィニティ】","5238","136","","","2895620124","@akicha_p_idol 水色 ももちぇる @_chelsub 💎🐈‍⬛",""
"＆シンフィニティ","有栖","かこ","ありす","かこ","ars_kako","有栖かこ🐇🍓＆シンフィニティ","3397","5569","","","3277231675","\ 💜 @akicha_p_idol アメシストパープル担当 💜 /セブンのいちごさんどが大好きなうさぎ顔🐇🍓ﾘﾌﾟﾍﾝｷﾏｸﾞﾚ",""
"＆シンフィニティ","長谷川","あき","はせがわ","あき","hsgwak68","長谷川あき【＆シンフィニティ】","1776","3458","","","1121679678660419590","@akicha_p_idol パールホワイト担当 あきちゃ🤍プロデューサー兼メンバー。黒髪ロング高身長おねえさん。❤︎7/31(日)15時〜定期公演@新宿→https://t.co/8nqjNonPX4",""
"＆シンフィニティ","ゆしろ","りさ","ゆしろ","りさ","yushiro_risa","ゆしろりさ【＆シンフィニティ】","377","485","","","1352241834613850112","@akicha_p_idol 緑 🦖🐾りさまる◎ アニメとお酒と辛いものがすきです",""
"＆シンフィニティ","北野","まゆほ","きたの","まゆほ","Mayuho830","北野 まゆほ🧡＆シンフィニティ","717","1129","","","1363891183001296896","新メンバー@akicha_p_idol トリプライトオレンジ担当！まーたんって呼んで下さい🧸🪐",""
"#2i2","","十味","","とーみ","toomi_nico","十味 #2i2","291838","58449","","","2635078470","【#2i2 001🌶 赤 @2i2jp】とーみと読みます。149cm/長野出身/1st写真集'とーみにこ'/日曜24:30~文化放送'音の箱'パーソナリティ/D.League LABアシスタントMC/公式ガンダムチャンネル研究生【郵送物】160-0023東京都新宿区西新宿6丁目12-7 ストーク新宿Bldg.2F",""
"#2i2","天羽","希純","あまう","きすみ","amau_kisumi","💋天羽希純💋生誕祭0812","135545","29907","","","3536512754","【#2i2 💜@2i2jp】きすみんって呼んでね！本名。#きすみ生誕祭0812 YouTube https://t.co/yHIb0s6vuD 問い合わせ https://t.co/3il5Pu71R5 #2i2 公式 https://t.co/UjuEb6DUcz",""
"#2i2","森嶋","あんり","もりしま","あんり","anchuu_122","森嶋あんり #2i2🌱7/25定期公演、8/12 初BLAZE定期","134298","18772","","","4660433978","【 #2i2 白色担当 @2i2jp 】#2i2 最年少です！ 群馬県出身🌳 食べることが大好き🍜 #もりしまとの思ひ出 💌 〒160-0023東京都新宿区西新宿6丁目12-7 ストーク新宿Bldg.2F 森嶋あんり宛 ※DM事務所管理です お問い合わせ⏩【https://t.co/ISfPOZU57D】",""
"#2i2","奥","ゆい","おく","ゆい","yui_oku","奥ゆい #2i2 @7/25 ＆8/12 ライブチケ発売中🫶","35149","14819","","","752144474550120448","【#2i2 004🐱💛 @2i2jp】ガム盾の人JOJOと猫が大好き🐾ガウラー🐺奥ゆい組🏍 エレクトーンとドラムができます🎧💗#奥ゆいと一緒 #今日の奥典会 SHOWROOM毎日配信🎥 【お問い合せ https://t.co/TYyos1p28l",""
"#BEMYLOVE","","りあら","","りあら","riaratan","りあら🦄💜#BEMYLOVE","1770","6555","","","3155347374","ぺこりあらワールドのお姫様最強ガールりあらです🦄🌈@riaramail2020ユニコーン♡シナモロール ♡とうもろこし🌽お肉🍖ハロプロ♡ 鈴木愛理ちゃん♡稲場愛香ちゃんらぶです💗あいりまにあ💞アイドルソロクィーンコンテストファイナリスト #りあら #ぺこりあら #ミンヨー #BEMYLOVE",""
"#BEMYLOVE","安達","かんな","あだち","かんな","kanna_bml","安達かんな🧸#BEMYLOVE","730","14473","","","1075572631481417728","#BEMYLOVE ( @bemylove_japan )のレッド担当かんちゃんです🧸🍒聖母です👩🏻‍🍼たまに衣装屋さん👗【求】かんちゃん単推し。落とし穴ドッキリかけられることが夢です #BEMYLOVE #ビーマイ #LOVER  #かんちゃんお寿司か ※DM運営管理",""
"#BEMYLOVE","満空","せな","みそら","せな","misora_bml","満空せな","550","7983","","","1180068292628602880","右投げ左打ちの人 セーフティーバント得意です！絶対ランナー2塁に送ります◎ こち亀は人生のバイブルです！ 密かに54文字物語投稿中📝 アメブロは下記から！",""
"#BEMYLOVE","大宮","瑞貴","おおみや","みずき","mizuki_bml","大宮みずき🐿 #BEMYLOVE","439","4715","","","1395002270492758016","『明日、誰かの - 好き。 - になる』#BEMYLOVE 【@bemylove_japan】🤍Debut:2021年8月31日🤍✨💗 #BEMYLOVEイベント情報 #アドレナリンたっぷりん",""
"#PANnana ーパンダの指は実は７本ある。ー","要","るな","かなめ","めな","runa__kaname","要るな#PANnana","2251","2887","","","1272968345311014913","@pannana_staff 🐼💙タイ🇹🇭と日本🇯🇵のハーフ！ガハハ〜ってよく笑うしよく喋ります！",""
"#PANnana ーパンダの指は実は７本ある。ー","一条","しずく","いちじょう","しずく","shizuku_ichijo","一条しずく #PANnana","1363","2021","","","1365439098371022856","",""
"#PANnana ーパンダの指は実は７本ある。ー","双葉","かい","ふたば","かい","kai_futaba","双葉かい #PANnana","1593","3453","","","1386936911013371907","【@pannana_staff】",""
"#PANnana ーパンダの指は実は７本ある。ー","彩音","そら","あやね","そら","sora__ayane","彩音そら #PANnana","1808","3701","","","1386937008946180101","꒰ @pannana_staff ꒱ の黄色パンダ そらにんです🐼🌈 ツインテールの斜構あいどる(？)スタプラは人生🫶🏻",""
"#PANnana ーパンダの指は実は７本ある。ー","向井","はるか","むかい","はるか","haruka_mukai","向井はるか #PANnana","2366","4086","","","1386938359814098944","@pannana_staff 赤色🍒 てゃ",""
"#PANnana ーパンダの指は実は７本ある。ー","音嶋","もね","おとしま","もね","mone_otoshima","音嶋もね #PANnana新メンバー","554","191","","","1449623091215167488","【@pannana_staff】紫色😈 #もねのおと",""
"#PANnana ーパンダの指は実は７本ある。ー","廣井","のどか","ひらい","のどか","nodoka_hiroi","廣井のどか #PANnana","1409","1750","","","1449634139443851265","【@pannana_staff】の白色⚪️ (19) / ボブにしようか迷ってる💭/こう見えて理系大学生！💡 / パンナナ東名阪ツアー開催！！！ 7/23(土)名古屋 • 8/7(日)東京• 8/20(日)ファイナル大阪",""
"#PEXACOA","まゆた","ゆま","まゆた","ゆま","yuma_pexacoa","まゆたゆま#PEXACOA","6537","1231","","","1109722587884486656","大阪府出身🐙@pexacoa_ofc 青色担当",""
"#PEXACOA","月島","くるみ","つきしま","くるみ","kurumi_pexacoa","月島くるみ #PEXACOA","3147","771","","","1247280319499132928","5都道府県ツアー ・7/24 大阪 ・7/31 名古屋 ・8/20 福岡 ・8/28 北海道 ・9/4 東京 よろしくお願いします",""
"#PEXACOA","鈴音","こはる","すずね","こはる","koharu_pexacoa","鈴音こはる #PEXACOA","4948","3147","","","1247292769476808704","",""
"#PEXACOA","高木","そら","たかぎ","そら","sora_pexacoa","高木そら#PEXACOA","2285","2544","","","1280510026763902977","@PEXACOA_OFCぼぶﾁｬﾝ🐣",""
"#PEXACOA","宮凪","りぃさ","みやなぎ","りぃさ","riisa_PEXACOA","宮凪りぃさ#PEXACOA","2065","5335","","","1335490334621487104","@PEXACOA_OFC ☀️太陽オレンジ担当🧡 #りぃさ飯 顔面うるさい後ろから歩いてくる系アイドル",""
"#PEXACOA","白瀬","はる","しらせ","はる","haru_PEXACOA","白瀬はる #PEXACOA","3003","9855","","","1335497010334498819","@PEXACOA_OFCペキサコア白色担当☁️しらせはるtiktokはじめました！https://t.co/S6lzKRoTj9 ○AB型左利き.ぺで1番ちいさい人🐶この夏全国ツアー！",""
"#PEXACOA","茜","みく","あかね","みく","miku_PEXACOA","茜みく#PEXACOA新メンバー","1169","71","","","1535871678236233728","@PEXACOA_OFC 赤色担当👶🏻🍒",""
"#YOYOYO","貝賀","琴莉","かいが","ことり","0112Kako","貝賀 琴莉🐤 #よーよーよー","29435","6726","","","2716955641","かいがことりです! アイドルグループ #YOYOYO @yoyoyo01f 💟紫色担当20歳 人見知りです仲良くしてください マミーとゴルフ行きます⛳️ ※DMは事務所管理です🐣 〔お問い合わせhttps://t.co/6Y1YX2vdCi〕#琴莉のとりこ",""
"#YOYOYO","由良","ゆら","ゆら","ゆら","yurayura_yuraa","由良ゆら #よーよーよー","300678","10647","","","3143170398","世界まるまるゆらゆらプロジェクト♡)) https://t.co/X3okSZ8tKC🐏@yoyoyo01fゆらゆらさせちゃうぞ♡ゆらゆらこと、由良ゆらです💝クロミちゃんが世界一！ゆらゆらポニーテールとピンク色のアイドル",""
"#YOYOYO","森","香穂","もり","かほ","mori_kaho0601","森香穂","28239","5372","","","1205148122776625154","猫のこまち🐱2人暮 問い合わせ https://t.co/ymO864BPhT",""
"#YOYOYO","月","なぎさ‎","つき","なぎさ","N_hime41","月なぎさ #よーよーよー","10137","6832","","","1261234819356188672","୨୧⑅*. @yoyoyo01f #よーよーよー の山形県産。緑色ツインテール担当🌙🎀￤アニメとかわいいものとピンクが大好きです￤ミスiD2022夢月賞￤♡かわいくなるのが仕事♡ ᕱ⑅ᕱ🍓《お問い合わせ https://t.co/z9SbsLnVJx》୨୧⑅*.",""
"#YOYOYO","姫野","ひなの","ひめの","ひなの","aquamarin__","姫野ひなの#よーよーよー","40807","7997","","","1270359218093084679","［ @yoyoyo01f ］❄️ どさんこ丸顔ポジティブガール❄️148㎝❄️19歳❄️ 青色担当❄️目印は黒髪ショートカット❄️ひなのんが君のこと幸せにするよ！一緒にポジティブ‼︎☺️❄️☃️お問合せはこちら https://t.co/HGOuzA1ijQ",""
"#YOYOYO","石原","さき","いしはら","さき","isihara27saki","石原さき【#よーよーよー】","31299","1758","","","1286215981698707456","2007/2.7/15/@yoyoyo01f/#よーよーよー /❤️赤色担当15歳❤️/コスメオタク/お問い合わせはこちらから→ https://t.co/YDZQXyKbXI",""
"#YOYOYO","琴","るり","こと","るり","kotokotoruri","琴るり #よーよーよー","11082","2113","","","1399303448508571649","@yoyoyo01f オレンジ色",""
"#アイドルで生きる","高梨","有咲","たかなし","ありさ","arisatakanashi_","高梨 有咲","7930","1577","","","1046316627849969664","@NEWIDOL_pr《 #アイドルで生きる 》黄色担当16歳！",""
"#アイドルで生きる","白鷺","あいら","しらさぎ","あいら","aira_shirasagi","白鷺 あいら","21112","1227","","","1181529275645612032","あいどる、白色担当 @NEWIDOL_pr #アイドルで生きる",""
"#アイドルで生きる","小野","莉々","おの","りり","riri_ono","小野 莉々","705","204","","","1378888937926651904","青色担当おのりりです( .. ) 好きになってもらえますように…♡@NEWIDOL_pr",""
"#アイドルで生きる","河西","栞","かさい","しおり","shiori_kasai_","河西 栞","572","153","","","1409056105557233664","ピンク色担当🎀/@NEWIDOL_pr / 神奈川県出身/ instagram(https://t.co/NHMOVva93d)/tiktok(https://t.co/lOf1t3EPhQ)みんなの推しメンになれるように頑張る–！♡",""
"#あんのわーるど","","うらら","","うらら","ukw_ulala","うらら #あのわど","2046","1127","","","1290640682676355074","@ukw_official あか",""
"#あんのわーるど","氷菓","にこ","ひょうか","にこ","ukw_nico","氷菓にこ🍨🎀 #あのわど 7月9日(土)6人体制お披露目","1415","2430","","","1386983329799446530","💒 #あんのわーるど〖@ukw_official〗💒 ︴💗貴方のヒロインピンク担当💗 ︴🤍萌えきゅんをお届けします🤍 ︴#今日の氷菓にこ 覗きに行くよっ🍨𓈒𓏸໒꒱",""
"#あんのわーるど","びっくり","はてな","びっくり","はてな","ukw_hatena","びっくりはてな❕❔ #あのわど","499","169","","","1511316132866584581","❥・ @ukw_official ・❥ ┊🤍ピュアホワイト担当🤍 ┊#さすがにびっくりはてな で君のつぶやき見てるよ💭┊2022/04/28〜𓂃ᐝ ┊白っぽ派手髪㌠🤍",""
"#あんのわーるど","新世界","もゆ","しんせかい","もゆ","ukw_moyu","新世界✩もゆ #あのわど 7/9.10お披露目","345","181","","","1532368160782831621","#あんのわーるど (@ukw_official)候補生 きらめきぶるー担当🌏☁️ #もゆとつくろう新世界 7/9.10にお披露目です！らーめん からあげ はんばーぐ ちょこれーと どーなつ まかろん びっぐさいずのけーき！",""
"#あんのわーるど","夢乃","あくび","ゆめの","あくび","ukw_akubi","夢乃あくびᜊﬞﬞ ᶻᶻᶻ #あのわど","385","122","","","1532962562232680448","#あんのわーるど 👉🏻(@ukw_official) あのわど候補生 ラベンダー色担当💟  #あくびちゃん眠いね でツイート覗きます🥱💭",""
"#あんのわーるど","あったか","こころ","あったか","こころ","ukw_kokoro","あったか こころ #あのわど","165","42","","","1542119796149751810","#あんのわーるど(@ukw_official)候補生 ぽかぽかおれんじ担当！🧡",""
"#がらぽん","","みさき","","みさき","misaki_grpn","みさき🎀#がらぽん 2ndワンマンライブ8月27日@池袋エンタメ横丁","1828","19575","","","3279334915","#がらぽん (@grpn_official)ピンク担当💗ラーメン早食い得意だよ！被写体。2018年地上波真夜中のおバカ騒ぎ2月出演。撮影会モデル名鑑2020～2021掲載。スロットや競馬します。1リプok！DM事務所管理です。小倉唯さん推し",""
"#がらぽん","","こはる","","こはる","koharu_grpn","こはる😈#がらぽん 2ndワンマンライブ8月27日(土)@池袋エンタメ横丁","1018","17577","","","1085585361403752449","#がらぽん@grpn_official パープルんるん🧋🍅🦥 #こはるんるんるん💜🔥2022.08.27(土)池袋エンタメ横丁 #がらぽん 2ndワンマンライブ開催決定🔥100日ミッションチャレンジ中🔥「がら ぽイんト」集めてます🔥目指せ2022がら ぽイんト以上🔥",""
"#がらぽん","","みあき","","みあき","miaki_grpn","みあき🥒#がらぽん 2ndワンマンライブ8月27日(土)@池袋エンタメ横丁","492","10371","","","1250622012671668226","@grpn_official グリーン担当のみあき🥒#みゃーき 大阪出身。緑が世界一似合う女💚 ディズニー好き、プーさんが彼氏🐝🍯 食べることも大好き🥒眠たい子😴 #100日後にブリッジが出来るみあき 完走💪 事務所管理 通販@grpn_help",""
"#がらぽん","","のい","","のい","noi_grpn","のい🐈#がらぽん 2ndワンマンライブ8月27日(土)@池袋エンタメ横丁","329","2871","","","1437311674420117506","#がらぽん レッド担当‼️ アニメとゲームと野球が好きなアイドル🥳 1リプ⭕️、DM❌ ⚠️事務所管理                                                                2021.10月24日(日)デビュー！",""
"#コロッケそば","","ましころちゃん","","ましころちゃん","caketabetai__oO","🎀ましましゅろん🎀","5132","2269","","","1167478617133051909","🍓 music ♡♡￤ かわいくてあまい声です🧁🎀💗@Msabu__zZ",""
"#コロッケそば","","もかそばちゃん","","もかそばちゃん","mtl_Got","もん @ 次は8月6日🤍","7018","7745","","","795266630452285441","バブ姫です。8月6日長町リプルでお愛したいのですが？・9月23日新宿ロフト！",""
"#ジューロック","斉藤","留衣","さいとう","るい","rui_jurock","斉藤留衣@#ジューロック新メンバー","2595","867","","","1111203489521135616","@JUROCK_16_ のきいろさん、るちゃんと過ごす夏にしませんか",""
"#ジューロック","村瀬","めぐ","むらせ","めぐ","megu_JUROCK2","村瀬めぐ #ジューロック","7102","5425","","","1278488201317904384","@JUROCK_16_",""
"#ジューロック","白間","沙希","しろま","さき","saki_JUROCK2","白間沙希 #ジューロック","7244","4719","","","1278489533877633024","",""
"#ジューロック","加藤","真凛","かとう","まりん","marin_JUROCK2","加藤真凛 #ジューロック","3513","5230","","","1278491165344456705","💚@JUROCK_16_ 💚埼玉県出身です！推しメンにして下さい☁️",""
"#ジューロック","朝倉","さゆ","あさくら","さゆ","sayu_JUROCK2","朝倉さゆ #ジューロック","3044","2807","","","1278491953647116288","@JUROCK_16_ げんきです！18さい！3rdワンマンライブ 2021/1/6（木）@日本特殊陶業市民会館フォレストホール",""
"#ジューロック","篠宮","すずね","しのみや","すずね","suzune_JUROCK2","篠宮すずね #ジューロック","3345","6365","","","1278492984418263041","𓂃 水色担当 🐻🫧💎💙 𓂃 いっぱい食べます❕脚❕アイドル真剣❕何事も全力❕写真写りが悪すぎて困ります❕@JUROCK_16_ ( つ❛ ֊ ❛c )💙 🫧",""
"#ジューロック","白石","杏","しらいし","あんず","an_JUROCK","白石杏 #ジューロック","2824","3052","","","1369124875181256707","@JUROCK_16_ ぴんく色担当💖 背も声も低いです🌷 不器用なので全部全力で頑張ります( ¨̮ )︎︎✌︎ 【7月10日 2周年記念ライブ！】",""
"#ジューロック","黒木","真里亜","くろき","まりあ","maria_JUROCK","黒木真里亜 #ジューロック","1770","2323","","","1369127088465223684","@jurock_16_",""
"#ジューロック","西野","ふうか","にしの","ふうか","fuka_JUROCK","西野ふうか #ジューロック","2247","2820","","","1369128976984109058","@JUROCK_16_ 育てて🥛˙˚ʚ 7/10(日)2周年ワンマン@金城ふ頭野外ステージ ɞ˚˙",""
"#ジューロック","相沢","ゆず","あいざわ","ゆず","yuzu_jurock","相沢ゆず@#ジューロック新メンバー","577","613","","","1516805586243194883","@JUROCK_16_ オレンジ担当！16さい！ずっとわらってる！オレンジペンラふりふりしてください🧡",""
"#ジューロック","深澤","りこ","ふかざわ","りこ","riko_jurock","深澤りこ@#ジューロック新メンバー","808","643","","","1516807292070797312","@JUROCK_16_の赤🐱",""
"#ジューロック","松永","あむ","まつなが","あむ","amu_jurock","松永あむ@#ジューロック新メンバー","4807","650","","","755978352142364672","@JUROCK_16_ 白色🤍全肯定bot❕ツイ廃斜構イキリ陰キャ❕みんなのメンケアマン❕",""
